tiempo,latitud,longitud
2026-05-26 08:00:00,-17.78328,-63.18212
2026-05-26 08:02:00,-17.78365,-63.18095
2026-05-26 08:04:00,-17.78412,-63.17945
2026-05-26 08:06:00,-17.78495,-63.17810
2026-05-26 08:08:00,-17.78605,-63.17695
2026-05-26 08:10:00,-17.78710,-63.17620
2026-05-26 08:12:00,-17.78835,-63.17575
2026-05-26 08:14:00,-17.78990,-63.17540
2026-05-26 08:16:00,-17.79125,-63.17510
2026-05-26 08:18:00,-17.79260,-63.17485
2026-05-26 08:20:00,-17.79395,-63.17455
2026-05-26 08:22:00,-17.79520,-63.17415
2026-05-26 08:24:00,-17.79630,-63.17360
2026-05-26 08:26:00,-17.79710,-63.17290
2026-05-26 08:28:00,-17.79785,-63.17195
